iso3,year,MA
USA,2022,48657057.37942857
KAZ,2022,124852416.332066
ZWE,2022,53110157.12162407
BEN,2022,102301214.52308702
GRD,2022,91946060.37374772
GRL,2022,116106792.62877536
ALB,2022,318662409.24640226
LBR,2022,71963075.73415501
CHE,2022,687991845.7677147
KGZ,2022,135068520.50509492
MEX,2022,129829204.81068495
TUN,2022,251045072.68884334
VGB,2022,128330277.9336912
AZE,2022,162257534.36441594
GMB,2022,82213604.33696973
SLB,2022,46991805.034529775
MUS,2022,46882392.166864224
CZE,2022,655355243.6927357
UZB,2022,132689307.2902788
TZA,2022,62793208.06920433
PRT,2022,220508251.24166846
MHL,2022,51092499.40718945
SOM,2022,75352608.94634071
VCT,2022,91875260.05937332
SVN,2022,609198625.4241995
KIR,2022,45486767.407816395
LAO,2022,169760544.82978743
CIV,2022,75814939.62283912
MLI,2022,82678640.25964698
HUN,2022,473073597.39884186
IRL,2022,451034012.53678495
MRT,2022,85056699.9338979
HRV,2022,506956880.8667735
MDG,2022,48205222.59853295
BEL,2022,1112046683.6611564
BRB,2022,85831222.81159449
LCA,2022,90822103.2440715
SAU,2022,121191876.27147916
JOR,2022,448337312.4728348
SGP,2022,120754325.30657806
ECU,2022,74399765.86798602
YEM,2022,106789683.75283477
UKR,2022,221652058.63990986
ISL,2022,153917129.1788897
CHL,2022,47126956.54722407
NRU,2022,47718378.43180625
ARM,2022,180691028.65227827
BWA,2022,54719919.53727715
TUV,2022,40576025.13377789
BLZ,2022,141980476.11453974
MMR,2022,149420387.61669916
PAN,2022,101380504.23926023
AND,2022,463286148.87028205
AGO,2022,54714839.38762531
ERI,2022,108912690.07555151
AUT,2022,584480025.862677
FIN,2022,247772957.7268332
KHM,2022,163843359.2081861
BHR,2022,271819677.6551953
CPV,2022,74471647.51827286
DZA,2022,238294492.02549595
NCL,2022,41545480.010217264
AUS,2022,33845644.123331375
RWA,2022,70377347.0514726
FSM,2022,63748122.935330585
KNA,2022,85966254.18778586
GTM,2022,128152778.08589265
LSO,2022,61677983.43686646
ETH,2022,85217506.19697976
AFG,2022,140223742.57246137
COG,2022,64219567.186442204
MWI,2022,55286720.405597076
CYM,2022,132008828.10863598
MLT,2022,244244330.35984784
MKD,2022,313890097.78912884
JAM,2022,121092907.5470232
LUX,2022,1095187601.560009
EGY,2022,177290173.88858634
DNK,2022,545605168.4496833
NAM,2022,48169289.82729101
DOM,2022,115010057.49627367
DMA,2022,92915329.30761062
CHN,2022,92521678.51426587
LVA,2022,328790602.6281212
MNP,2022,88525233.88962224
OMN,2022,161843918.7740574
PAK,2022,137456044.50823838
LBY,2022,177910412.25893256
FRO,2022,232080407.86507285
MAR,2022,175814665.74852392
SLE,2022,74570868.13665192
DEU,2022,513377181.2184207
BDI,2022,70532278.51384866
PLW,2022,87601576.18214934
HKG,2022,212554132.9915207
CYP,2022,244089914.40113515
ESP,2022,244782774.08027273
CRI,2022,104891084.97657967
MDV,2022,82179318.02053612
SYC,2022,61570832.58150411
TKM,2022,140241615.05178475
MDA,2022,266529751.4299165
TTO,2022,81650955.24071509
VNM,2022,142759064.4524415
PRI,2022,104913574.33634777
NIC,2022,120156696.66173247
HTI,2022,129046370.05321826
QAT,2022,195964211.60788
ARE,2022,150193687.73011273
KOR,2022,342815715.10319716
VEN,2022,89798786.6961504
NPL,2022,162183885.84692255
MOZ,2022,50352012.27980164
UGA,2022,73146326.27772291
BHS,2022,151449961.66768324
ITA,2022,340711495.2422352
BRN,2022,113630088.11725372
PYF,2022,35303939.16472684
SVK,2022,536466435.7449924
URY,2022,72302481.77077664
KEN,2022,68451355.97484529
GAB,2022,71327724.88741839
MAC,2022,0.0
BRA,2022,43191202.49740666
BLR,2022,285197519.1825402
SMR,2022,604670274.6998584
ABW,2022,99294579.40078185
IRQ,2022,169752087.60557577
LTU,2022,343018948.6824858
WSM,2022,36963633.155801475
GNQ,2022,80416793.4467839
GHA,2022,84087432.25362328
PER,2022,57468230.68921859
PRK,2022,480741083.0244472
ARG,2022,48167385.31939417
BFA,2022,87864985.33854622
COM,2022,55478071.05842823
IDN,2022,77390848.4549159
PNG,2022,53891753.504329644
CAF,2022,74997408.96558468
BOL,2022,57743347.570388794
GIN,2022,74236118.96958272
COL,2022,81800970.61758205
FRA,2022,460288929.29838264
STP,2022,74526929.44822328
CUB,2022,140200372.9646858
