country,ISO_A3,spei,date
Kuwait,KWT,-1.4055976,2019-02-15
Kyrgyzstan,KGZ,0.014502076,2019-02-15
Laos,LAO,1.1662098,2019-02-15
Latvia,LVA,0.6913871,2019-02-15
Lebanon,LBN,1.4308003,2019-02-15
Lesotho,LSO,-1.2474147,2019-02-15
Liberia,LBR,-0.10442618,2019-02-15
Libya,LBY,0.25736454,2019-02-15
Lithuania,LTU,0.6251632,2019-02-15
Luxembourg,LUX,0.47539997,2019-02-15
Madagascar,MDG,-0.43492642,2019-02-15
Malawi,MWI,1.293936,2019-02-15
Malaysia,MYS,-0.52937025,2019-02-15
Mali,MLI,-0.47670943,2019-02-15
Mauritania,MRT,-0.71726805,2019-02-15
Mauritius,MUS,0.39701328,2019-02-15
Mexico,MEX,-0.1330123,2019-02-15
Moldova,MDA,0.24807729,2019-02-15
Mongolia,MNG,-0.10573241,2019-02-15
Montenegro,MNE,-0.53649086,2019-02-15
Morocco,MAR,-1.7679129,2019-02-15
Mozambique,MOZ,0.2528111,2019-02-15
Myanmar,MMR,0.86202306,2019-02-15
Namibia,NAM,-0.17457917,2019-02-15
Nepal,NPL,0.98483473,2019-02-15
Netherlands,NLD,-0.02963626,2019-02-15
New Caledonia,NCL,0.15284759,2019-02-15
New Zealand,NZL,-0.9886212,2019-02-15
Nicaragua,NIC,-1.4170235,2019-02-15
Niger,NER,0.06624038,2019-02-15
Nigeria,NGA,0.23790705,2019-02-15
North Korea,PRK,-1.6061883,2019-02-15
North Macedonia,MKD,-0.59783304,2019-02-15
Norway,NOR,0.59936374,2019-02-15
Oman,OMN,-1.2750005,2019-02-15
Pakistan,PAK,0.15565403,2019-02-15
Palestine,PSE,0.815114,2019-02-15
Panama,PAN,-0.80582446,2019-02-15
Papua New Guinea,PNG,-0.08012621,2019-02-15
Paraguay,PRY,-0.827476,2019-02-15
Peru,PER,0.30161572,2019-02-15
Philippines,PHL,-0.059102524,2019-02-15
Poland,POL,0.3337282,2019-02-15
Portugal,PRT,-1.6788759,2019-02-15
Puerto Rico,PRI,-0.5648288,2019-02-15
Qatar,QAT,-0.5994165,2019-02-15
Republic of Serbia,SRB,-0.56071955,2019-02-15
Republic of the Congo,COG,0.6061161,2019-02-15
Romania,ROU,0.35160893,2019-02-15
Russia,RUS,0.27609426,2019-02-15
Rwanda,RWA,-0.37216562,2019-02-15
Saint Vincent and the Grenadines,VCT,-1.8715507,2019-02-15
Samoa,WSM,1.0100273,2019-02-15
Saudi Arabia,SAU,0.084443495,2019-02-15
Senegal,SEN,-0.99121755,2019-02-15
Siachen Glacier,SIA,1.3846908,2019-02-15
Sierra Leone,SLE,-0.20552367,2019-02-15
Slovakia,SVK,-0.43772846,2019-02-15
Slovenia,SVN,-1.1532017,2019-02-15
Solomon Islands,SLB,0.042715006,2019-02-15
Somalia,SOM,-0.66349924,2019-02-15
Somaliland,SOL,-0.5381979,2019-02-15
South Africa,ZAF,-1.2204827,2019-02-15
South Georgia and the Islands,SGS,-2.0876002,2019-02-15
South Korea,KOR,-0.85170496,2019-02-15
South Sudan,SSD,-0.8052595,2019-02-15
Spain,ESP,-1.8005579,2019-02-15
Sri Lanka,LKA,-0.5825312,2019-02-15
Sudan,SDN,-0.82791054,2019-02-15
Suriname,SUR,-1.2484992,2019-02-15
Sweden,SWE,0.5225956,2019-02-15
Switzerland,CHE,0.36724076,2019-02-15
Syria,SYR,1.1747768,2019-02-15
Taiwan,TWN,-0.20247367,2019-02-15
Tajikistan,TJK,-0.18633519,2019-02-15
Thailand,THA,0.7094658,2019-02-15
The Bahamas,BHS,0.45336178,2019-02-15
Togo,TGO,-0.93800735,2019-02-15
Trinidad and Tobago,TTO,-2.2321162,2019-02-15
Tunisia,TUN,-0.6264791,2019-02-15
Turkey,TUR,1.3766396,2019-02-15
Turkmenistan,TKM,0.5402765,2019-02-15
Uganda,UGA,0.8021758,2019-02-15
Ukraine,UKR,0.668312,2019-02-15
United Arab Emirates,ARE,-0.017916514,2019-02-15
United Kingdom,GBR,-0.94612706,2019-02-15
United Republic of Tanzania,TZA,-0.021003693,2019-02-15
United States Virgin Islands,VIR,-0.6187411,2019-02-15
United States of America,USA,1.0032333,2019-02-15
Uruguay,URY,1.6878042,2019-02-15
Uzbekistan,UZB,0.09837133,2019-02-15
Vanuatu,VUT,0.09805446,2019-02-15
Venezuela,VEN,-0.6378819,2019-02-15
Vietnam,VNM,0.6123382,2019-02-15
Western Sahara,ESH,-0.88618124,2019-02-15
Yemen,YEM,-1.0053806,2019-02-15
Zambia,ZMB,0.16444872,2019-02-15
Zimbabwe,ZWE,0.13480398,2019-02-15
eSwatini,SWZ,-0.9924674,2019-02-15
Afghanistan,AFG,0.7164733,2019-03-16
Aland,ALA,1.1596091,2019-03-16
Albania,ALB,-0.6255829,2019-03-16
Algeria,DZA,-0.5180652,2019-03-16
Angola,AGO,0.076445304,2019-03-16
Argentina,ARG,0.1667355,2019-03-16
Armenia,ARM,0.771645,2019-03-16
Australia,AUS,-0.8929997,2019-03-16
Austria,AUT,-0.28448966,2019-03-16
Azerbaijan,AZE,0.34052488,2019-03-16
Bangladesh,BGD,1.0899463,2019-03-16
Belarus,BLR,-0.6118637,2019-03-16
Belgium,BEL,-0.04304186,2019-03-16
Belize,BLZ,-0.864034,2019-03-16
Benin,BEN,-0.5639366,2019-03-16
Bhutan,BTN,0.365998,2019-03-16
Bolivia,BOL,-0.8231644,2019-03-16
Bosnia and Herzegovina,BIH,-1.3798658,2019-03-16
Botswana,BWA,-0.47903395,2019-03-16
Brazil,BRA,-0.34667435,2019-03-16
Brunei,BRN,-1.4311981,2019-03-16
Bulgaria,BGR,-1.1767316,2019-03-16
Burkina Faso,BFA,-0.20680636,2019-03-16
Burundi,BDI,-1.7624912,2019-03-16
Cabo Verde,CPV,0.26026055,2019-03-16
Cambodia,KHM,-0.15672389,2019-03-16
Cameroon,CMR,0.1528231,2019-03-16
Canada,CAN,-0.074866906,2019-03-16
Central African Republic,CAF,-0.4714316,2019-03-16
Chad,TCD,-1.1500866,2019-03-16
Chile,CHL,-0.17724389,2019-03-16
China,CHN,-0.6264081,2019-03-16
Colombia,COL,-0.3220051,2019-03-16
Comoros,COM,-1.9016781,2019-03-16
Costa Rica,CRI,-0.17386988,2019-03-16
Croatia,HRV,-1.3726158,2019-03-16
Cuba,CUB,0.08285605,2019-03-16
Cyprus,CYP,1.2688282,2019-03-16
Czechia,CZE,-0.9569414,2019-03-16
Democratic Republic of the Congo,COD,-0.17670408,2019-03-16
Denmark,DNK,0.9920071,2019-03-16
Djibouti,DJI,-0.7716484,2019-03-16
Dominican Republic,DOM,-0.70591426,2019-03-16
East Timor,TLS,-2.1198945,2019-03-16
Ecuador,ECU,0.73207134,2019-03-16
Egypt,EGY,-0.07987475,2019-03-16
El Salvador,SLV,-0.97784334,2019-03-16
Equatorial Guinea,GNQ,0.37692326,2019-03-16
Eritrea,ERI,-0.8974956,2019-03-16
Estonia,EST,1.4263796,2019-03-16
Ethiopia,ETH,-0.62635434,2019-03-16
Falkland Islands,FLK,0.61734265,2019-03-16
Faroe Islands,FRO,0.048404835,2019-03-16
Fiji,FJI,-0.5398555,2019-03-16
Finland,FIN,1.5658314,2019-03-16
France,FRA,-1.4240361,2019-03-16
French Polynesia,PYF,0.7244219,2019-03-16
French Southern and Antarctic Lands,ATF,1.8758461,2019-03-16
Gabon,GAB,0.17446771,2019-03-16
Gambia,GMB,-0.33259964,2019-03-16
Georgia,GEO,0.09197848,2019-03-16
Germany,DEU,-0.23375395,2019-03-16
Ghana,GHA,-0.20543222,2019-03-16
Greece,GRC,-0.023193186,2019-03-16
Greenland,GRL,0.34193188,2019-03-16
Guatemala,GTM,-1.1343383,2019-03-16
Guinea,GIN,0.53872275,2019-03-16
Guinea-Bissau,GNB,-0.433097,2019-03-16
Guyana,GUY,-1.3501827,2019-03-16
Haiti,HTI,-1.3521142,2019-03-16
Honduras,HND,-0.39124647,2019-03-16
Hungary,HUN,-1.5986915,2019-03-16
Iceland,ISL,0.9568302,2019-03-16
India,IND,-0.039683968,2019-03-16
Indonesia,IDN,-0.4389686,2019-03-16
Iran,IRN,0.7797846,2019-03-16
Iraq,IRQ,0.22494309,2019-03-16
Ireland,IRL,0.04194855,2019-03-16
Israel,ISR,0.72451866,2019-03-16
Italy,ITA,-1.1487827,2019-03-16
Ivory Coast,CIV,-0.14479698,2019-03-16
Jamaica,JAM,-0.06444986,2019-03-16
Japan,JPN,-1.4229342,2019-03-16
Jordan,JOR,1.0299802,2019-03-16
Kazakhstan,KAZ,-0.7536264,2019-03-16
Kenya,KEN,0.9780663,2019-03-16
Kosovo,XKX,-1.2681562,2019-03-16
Kuwait,KWT,-0.7300821,2019-03-16
Kyrgyzstan,KGZ,-0.5034579,2019-03-16
Laos,LAO,-0.3104166,2019-03-16
Latvia,LVA,1.0848883,2019-03-16
Lebanon,LBN,1.2495143,2019-03-16
Lesotho,LSO,-0.5929006,2019-03-16
Liberia,LBR,-0.1633273,2019-03-16
Libya,LBY,0.28246558,2019-03-16
Lithuania,LTU,0.29911274,2019-03-16
Luxembourg,LUX,0.018899245,2019-03-16
Madagascar,MDG,0.27526978,2019-03-16
Malawi,MWI,1.3802443,2019-03-16
Malaysia,MYS,-1.2588993,2019-03-16
Mali,MLI,-0.034489404,2019-03-16
Mauritania,MRT,-0.21682292,2019-03-16
Mauritius,MUS,-0.5717622,2019-03-16
Mexico,MEX,-0.23289314,2019-03-16
Moldova,MDA,-1.0045575,2019-03-16
Mongolia,MNG,-1.357212,2019-03-16
Montenegro,MNE,-1.0234196,2019-03-16
Morocco,MAR,-1.4043089,2019-03-16
Mozambique,MOZ,0.4609419,2019-03-16
Myanmar,MMR,0.20066267,2019-03-16
Namibia,NAM,-0.124262266,2019-03-16
Nepal,NPL,0.77887774,2019-03-16
Netherlands,NLD,0.3848436,2019-03-16
New Caledonia,NCL,-0.35668468,2019-03-16
New Zealand,NZL,-0.2718719,2019-03-16
Nicaragua,NIC,-0.9117751,2019-03-16
Niger,NER,-0.27368075,2019-03-16
Nigeria,NGA,-0.37537774,2019-03-16
North Korea,PRK,-1.870666,2019-03-16
North Macedonia,MKD,-1.1573206,2019-03-16
Norway,NOR,0.9556221,2019-03-16
Oman,OMN,-1.192142,2019-03-16
Pakistan,PAK,1.1450487,2019-03-16
Palestine,PSE,0.7713537,2019-03-16
Panama,PAN,-0.6725188,2019-03-16
Papua New Guinea,PNG,0.24022289,2019-03-16
Paraguay,PRY,0.5913198,2019-03-16
Peru,PER,0.18557903,2019-03-16
Philippines,PHL,-0.8374859,2019-03-16
Poland,POL,-0.5131874,2019-03-16
Portugal,PRT,-1.6203494,2019-03-16
Puerto Rico,PRI,-0.6742499,2019-03-16
Qatar,QAT,1.2948674,2019-03-16
Republic of Serbia,SRB,-1.4625406,2019-03-16
Republic of the Congo,COG,-0.39973325,2019-03-16
Romania,ROU,-1.0944289,2019-03-16
Russia,RUS,0.21387047,2019-03-16
Rwanda,RWA,-1.9202694,2019-03-16
Saint Vincent and the Grenadines,VCT,-1.8145012,2019-03-16
Samoa,WSM,0.6315718,2019-03-16
Saudi Arabia,SAU,0.4133262,2019-03-16
Senegal,SEN,-0.15659201,2019-03-16
Siachen Glacier,SIA,1.3029143,2019-03-16
Sierra Leone,SLE,-0.06540632,2019-03-16
Slovakia,SVK,-1.2579615,2019-03-16
Slovenia,SVN,-1.0160362,2019-03-16
Solomon Islands,SLB,0.03714139,2019-03-16
Somalia,SOM,-0.6616624,2019-03-16
Somaliland,SOL,-0.56484663,2019-03-16
South Africa,ZAF,-1.0118772,2019-03-16
South Georgia and the Islands,SGS,-0.3491294,2019-03-16
South Korea,KOR,-1.3795905,2019-03-16
South Sudan,SSD,-0.74655014,2019-03-16
Spain,ESP,-1.881451,2019-03-16
Sri Lanka,LKA,-0.65940374,2019-03-16
Sudan,SDN,-0.876637,2019-03-16
Suriname,SUR,-1.6227682,2019-03-16
Sweden,SWE,1.1972731,2019-03-16
Switzerland,CHE,-0.54945123,2019-03-16
Syria,SYR,1.0282696,2019-03-16
Taiwan,TWN,0.11541506,2019-03-16
Tajikistan,TJK,-0.31931865,2019-03-16
Thailand,THA,-0.35465062,2019-03-16
The Bahamas,BHS,0.33836165,2019-03-16
Togo,TGO,-0.47104067,2019-03-16
Trinidad and Tobago,TTO,-1.3468213,2019-03-16
Tunisia,TUN,0.402025,2019-03-16
Turkey,TUR,0.20799471,2019-03-16
Turkmenistan,TKM,0.5823409,2019-03-16
Uganda,UGA,0.6231801,2019-03-16
Ukraine,UKR,-0.83192086,2019-03-16
United Arab Emirates,ARE,0.4909988,2019-03-16
United Kingdom,GBR,-0.63381034,2019-03-16
United Republic of Tanzania,TZA,-0.14335771,2019-03-16
United States Virgin Islands,VIR,-0.88199407,2019-03-16
United States of America,USA,0.82962084,2019-03-16
Uruguay,URY,0.97007674,2019-03-16
Uzbekistan,UZB,-0.18761468,2019-03-16
Vanuatu,VUT,0.08408911,2019-03-16
Venezuela,VEN,-0.61151236,2019-03-16
Vietnam,VNM,0.23435311,2019-03-16
Western Sahara,ESH,-0.685942,2019-03-16
Yemen,YEM,-0.5689314,2019-03-16
Zambia,ZMB,0.064616434,2019-03-16
Zimbabwe,ZWE,0.19868824,2019-03-16
eSwatini,SWZ,-0.10614137,2019-03-16
Afghanistan,AFG,1.1403052,2019-04-16
Aland,ALA,-0.62008643,2019-04-16
Albania,ALB,-1.2396582,2019-04-16
Algeria,DZA,-0.49394283,2019-04-16
Angola,AGO,0.093374446,2019-04-16
Argentina,ARG,-0.19251855,2019-04-16
Armenia,ARM,0.8288189,2019-04-16
Australia,AUS,-0.7102595,2019-04-16
Austria,AUT,-1.3368754,2019-04-16
Azerbaijan,AZE,0.49205315,2019-04-16
Bangladesh,BGD,1.0980076,2019-04-16
Belarus,BLR,-2.2732158,2019-04-16
Belgium,BEL,-0.5803948,2019-04-16
Belize,BLZ,0.2445876,2019-04-16
Benin,BEN,-0.11917389,2019-04-16
Bhutan,BTN,0.42338437,2019-04-16
Bolivia,BOL,-0.595699,2019-04-16
Bosnia and Herzegovina,BIH,-1.2567276,2019-04-16
Botswana,BWA,-0.28774974,2019-04-16
Brazil,BRA,-0.018939193,2019-04-16
Brunei,BRN,-1.3997929,2019-04-16
Bulgaria,BGR,-1.1252776,2019-04-16
Burkina Faso,BFA,0.08057756,2019-04-16
Burundi,BDI,-2.8133492,2019-04-16
Cabo Verde,CPV,0.30310446,2019-04-16
Cambodia,KHM,-0.19808765,2019-04-16
Cameroon,CMR,-0.17546996,2019-04-16
Canada,CAN,-0.20842145,2019-04-16
Central African Republic,CAF,-0.3556529,2019-04-16
Chad,TCD,-0.88440424,2019-04-16
Chile,CHL,-0.1007794,2019-04-16
China,CHN,-0.753716,2019-04-16
Colombia,COL,-0.3917174,2019-04-16
Comoros,COM,0.009760522,2019-04-16
Costa Rica,CRI,0.3622593,2019-04-16
Croatia,HRV,-1.1425192,2019-04-16
