country,iso3,spei,spei_date,year,month,spei_lag1,spei_lag2,spei_lag3
Guatemala,GTM,-0.11933477,2019-01-16,2019,1,0.36167422,-0.12087405,-0.3652421
Guinea,GIN,-1.1589417,2019-01-16,2019,1,0.01352343,0.4076401,0.32153532
Guinea-Bissau,GNB,-1.5486801,2019-01-16,2019,1,-0.049382593,0.72710425,-0.07216775
Guyana,GUY,-1.5020566,2019-01-16,2019,1,-1.6061468,0.24744669,-0.3868148
Haiti,HTI,-1.7776701,2019-01-16,2019,1,-1.5887362,-0.16436458,-0.5538927
Honduras,HND,-1.6594938,2019-01-16,2019,1,-1.339936,-0.93017465,0.35370627
Hungary,HUN,-0.58740914,2019-01-16,2019,1,-1.382882,-1.486488,-1.6912966
Iceland,ISL,1.1498585,2019-01-16,2019,1,1.1608795,1.0539433,0.44566798
India,IND,-0.16808234,2019-01-16,2019,1,-0.76599467,-0.5231524,-0.5185973
Indonesia,IDN,0.24631798,2019-01-16,2019,1,0.3286529,-0.096683726,-0.62146646
Iran,IRN,0.08598843,2019-01-16,2019,1,0.2990662,0.4615937,-0.39394572
Iraq,IRQ,0.76963055,2019-01-16,2019,1,1.3429593,0.80167156,-0.75945944
Ireland,IRL,0.57323444,2019-01-16,2019,1,0.7597342,0.16837643,-0.74450755
Israel,ISR,0.42522418,2019-01-16,2019,1,0.6454163,0.08080794,-0.1885568
Italy,ITA,-0.88803244,2019-01-16,2019,1,-0.8015662,-0.96364635,-0.66467774
Ivory Coast,CIV,-0.917051,2019-01-16,2019,1,0.27422628,0.59167767,0.9392654
Jamaica,JAM,-0.8658481,2019-01-16,2019,1,-1.6256478,-2.0088186,-1.8573827
Japan,JPN,-1.2727046,2019-01-16,2019,1,-0.722774,0.09743158,0.54232657
Jordan,JOR,0.6421655,2019-01-16,2019,1,0.5380215,0.06345513,-0.24041174
Kazakhstan,KAZ,0.0017879274,2019-01-16,2019,1,-0.0015075266,0.0056980005,-0.06682788
Kenya,KEN,-0.121781096,2019-01-16,2019,1,-0.5476977,-0.8919279,0.11103306
Kiribati,KIR,,2019-01-16,2019,1,,,
Kosovo,-99,-0.21823806,2019-01-16,2019,1,-0.30680633,0.06433883,1.4841563
Kuwait,KWT,0.43336987,2019-01-16,2019,1,1.5653954,1.8915606,-0.5949569
Kyrgyzstan,KGZ,0.3748812,2019-01-16,2019,1,0.24766472,0.20517908,-0.17870708
Laos,LAO,0.7337365,2019-01-16,2019,1,0.40517586,-1.1375779,-0.12851506
Latvia,LVA,-0.36423558,2019-01-16,2019,1,-0.7282416,-0.9345352,-0.56331885
Lebanon,LBN,1.0998397,2019-01-16,2019,1,0.98768467,-0.08463489,0.15892759
Lesotho,LSO,-2.041933,2019-01-16,2019,1,-2.1107068,-1.7723511,-0.95596606
Liberia,LBR,-0.24731897,2019-01-16,2019,1,-0.34849912,-0.35037568,-0.16397892
Libya,LBY,-0.1186913,2019-01-16,2019,1,-0.3512582,-0.62080693,-0.46320167
Lithuania,LTU,-0.1278843,2019-01-16,2019,1,-0.50564325,-1.2639658,-1.0092856
Luxembourg,LUX,0.16043182,2019-01-16,2019,1,-0.83668804,-2.351994,-1.8447255
Madagascar,MDG,-0.35585007,2019-01-16,2019,1,-0.6909011,-0.5780703,-1.1675074
Malawi,MWI,1.0812918,2019-01-16,2019,1,1.3034714,0.36575326,0.57441735
Malaysia,MYS,-0.16647883,2019-01-16,2019,1,0.1610923,-0.20601615,-0.6747571
Mali,MLI,-0.6890494,2019-01-16,2019,1,-0.042423822,0.1958658,0.42591122
Mauritania,MRT,-0.46182457,2019-01-16,2019,1,-0.3713248,0.03986105,-0.017409831
Mauritius,MUS,1.5839245,2019-01-16,2019,1,0.83396274,1.8067466,-0.7035858
Mexico,MEX,0.38025168,2019-01-16,2019,1,0.9051023,1.033655,0.7893026
Moldova,MDA,0.94638586,2019-01-16,2019,1,-0.6736434,-0.7088214,-2.098257
Mongolia,MNG,-1.060161,2019-01-16,2019,1,-1.1160874,-0.12010368,0.51244855
Montenegro,MNE,-0.19391955,2019-01-16,2019,1,-1.152001,-1.7940621,-1.9688102
Morocco,MAR,-1.2413234,2019-01-16,2019,1,-0.11702024,0.65184706,0.79695183
Mozambique,MOZ,0.286837,2019-01-16,2019,1,0.022941422,-0.38429585,-0.67592305
Myanmar,MMR,0.025526252,2019-01-16,2019,1,0.29866648,-0.19660015,0.2738351
Namibia,NAM,-0.29668456,2019-01-16,2019,1,-0.5153345,-0.17287987,0.050081976
Nepal,NPL,0.93363285,2019-01-16,2019,1,0.26350716,-0.042972747,-0.13924907
Netherlands,NLD,-0.67474395,2019-01-16,2019,1,-1.3896508,-2.277221,-1.7939283
New Caledonia,NCL,-0.86467093,2019-01-16,2019,1,-0.4848571,-0.48643327,-0.1607261
New Zealand,NZL,-0.86166203,2019-01-16,2019,1,-0.78165644,-1.0540665,-0.94521326
Nicaragua,NIC,-1.7622503,2019-01-16,2019,1,-1.3348565,-0.92792857,-0.42136857
Niger,NER,-0.10507703,2019-01-16,2019,1,0.9530429,0.82425183,0.41389245
Nigeria,NGA,-0.09086533,2019-01-16,2019,1,0.9252537,0.7277258,0.37677798
North Korea,PRK,-0.78325653,2019-01-16,2019,1,0.24954687,-0.3744454,0.17113315
North Macedonia,MKD,0.03484923,2019-01-16,2019,1,-1.4384366,-1.64263,-1.6411668
Northern Cyprus,-99,1.7281134,2019-01-16,2019,1,-0.21823806,-0.30680633,0.06433883
Norway,-99,0.1762639,2019-01-16,2019,1,1.7281134,-0.21823806,-0.30680633
Oman,OMN,-1.3328019,2019-01-16,2019,1,-0.73161286,-1.2020422,-1.190566
Pakistan,PAK,-0.8878635,2019-01-16,2019,1,-1.0696199,-0.7235932,-0.95675904
Palestine,PSE,0.40297484,2019-01-16,2019,1,0.5564468,0.07359616,0.07104287
Panama,PAN,-0.65598416,2019-01-16,2019,1,-0.35715634,-0.0443198,-0.13527554
Papua New Guinea,PNG,0.17197801,2019-01-16,2019,1,0.10890313,-0.012859283,-0.12805085
Paraguay,PRY,0.2407671,2019-01-16,2019,1,1.464759,2.041758,1.5832162
Peru,PER,0.36061656,2019-01-16,2019,1,0.2940766,0.13861562,0.3239111
Philippines,PHL,-0.19110076,2019-01-16,2019,1,-0.53853285,-0.47312716,-0.012493013
Poland,POL,0.07322924,2019-01-16,2019,1,-0.81479317,-1.5700173,-1.7605668
Portugal,PRT,-0.59805876,2019-01-16,2019,1,-0.13703479,0.28828278,-0.73447096
Puerto Rico,PRI,-0.38761613,2019-01-16,2019,1,0.021819413,-0.19372769,-0.35080513
Qatar,QAT,-0.21113984,2019-01-16,2019,1,0.48086742,0.37727752,-1.326221
Republic of Serbia,SRB,-0.2798117,2019-01-16,2019,1,-1.4305888,-1.9230627,-2.0419033
Republic of the Congo,COG,0.5139655,2019-01-16,2019,1,-0.23411953,-0.90624154,-1.0485588
Romania,ROU,0.949234,2019-01-16,2019,1,-0.53402305,-1.1787819,-1.985433
Russia,RUS,0.1489951,2019-01-16,2019,1,0.06488102,0.13662761,-0.23251964
Rwanda,RWA,-0.0013662458,2019-01-16,2019,1,-0.24816294,-1.530696,-0.8758262
Saint Vincent and the Grenadines,VCT,-1.5584279,2019-01-16,2019,1,-0.5066369,-0.69314456,-0.2977821
Samoa,WSM,0.33818305,2019-01-16,2019,1,0.92371863,0.5825074,0.89008445
Saudi Arabia,SAU,0.42364115,2019-01-16,2019,1,0.7699957,0.67574835,-0.6313903
Senegal,SEN,-0.9770819,2019-01-16,2019,1,0.13400124,0.8840391,-0.23313962
Siachen Glacier,-99,1.858379,2019-01-16,2019,1,0.1762639,1.7281134,-0.21823806
Sierra Leone,SLE,-0.36724487,2019-01-16,2019,1,-0.3775467,-0.29895666,-0.23088634
Slovakia,SVK,-0.36569637,2019-01-16,2019,1,-1.1280392,-1.2797893,-1.479161
Slovenia,SVN,-1.119756,2019-01-16,2019,1,-1.2609694,-0.9882107,-0.8868434
Solomon Islands,SLB,0.07206629,2019-01-16,2019,1,0.036674,0.053124677,0.03264587
Somalia,SOM,0.18665783,2019-01-16,2019,1,0.09035946,0.33151752,0.13582532
Somaliland,-99,-0.18083224,2019-01-16,2019,1,1.858379,0.1762639,1.7281134
South Africa,ZAF,-1.810701,2019-01-16,2019,1,-1.9222654,-1.4567024,-0.8480964
South Georgia and the Islands,SGS,-1.8647346,2019-01-16,2019,1,-1.9414136,-0.86997163,-1.1562978
South Korea,KOR,-0.64104307,2019-01-16,2019,1,1.5344559,0.8695251,0.4317639
South Sudan,SSD,-0.4472534,2019-01-16,2019,1,0.09830443,0.00823619,0.046274886
Spain,ESP,-0.44695657,2019-01-16,2019,1,0.28223646,0.47103888,-0.3932713
