origin,destination,dist_od
AFG,DEU,8.503990619756475
AFG,DJI,8.191558891609446
AFG,DMA,9.41871783928972
AFG,DNK,8.48637123773471
AFG,DOM,9.44315064957515
AFG,DZA,8.658591186032117
AFG,ECU,9.617855377608043
AFG,EGY,8.15963156877982
AFG,ERI,8.192469746655172
AFG,ESH,8.942696585325445
AFG,ESP,8.719871307025295
AFG,EST,8.320154912954457
AFG,ETH,8.318422933422744
AFG,FIN,8.351497928590927
AFG,FJI,9.467935590291555
AFG,FLK,9.640998780317869
AFG,FRA,8.61066313356688
AFG,FRO,8.680238482361517
AFG,FSM,9.108620997090094
AFG,GAB,8.876318889801501
AFG,GBR,8.646322107345918
AFG,GEO,7.719914517418934
AFG,GHA,8.946231326262769
AFG,GIB,8.778790392535075
AFG,GIN,9.055517166053939
AFG,GLP,9.41405560993001
AFG,GMB,9.068154955358153
AFG,GNB,9.070017052058134
AFG,GNQ,8.856298529808901
AFG,GRC,8.287154926093132
AFG,GRD,9.441744907208143
AFG,GRL,8.941715420241426
AFG,GTM,9.553433499191511
AFG,GUF,9.42906778649658
AFG,GUY,9.454340896529278
AFG,HKG,8.444490231770017
AFG,HND,9.541551651140194
AFG,HRV,8.41031997665025
AFG,HTI,9.454680872185909
AFG,HUN,8.356473348473642
AFG,IDN,8.70752805572953
AFG,IND,7.363981940128475
AFG,IRL,8.70735361055774
AFG,IRN,7.26432141700172
AFG,IRQ,7.673026357578986
AFG,ISL,8.788889164355645
AFG,ISR,8.03411015847108
AFG,ITA,8.49008917372418
AFG,JAM,9.48005601029682
AFG,JOR,8.004813026643916
AFG,JPN,8.724945137356984
AFG,KAZ,7.303164664016902
AFG,KEN,8.54839840456951
AFG,KGZ,6.852321212893831
AFG,KHM,8.403245018266258
AFG,KIR,9.339162694312956
AFG,KNA,9.253647914959998
AFG,KOR,8.569164765719949
AFG,KWT,7.590151878574187
AFG,LAO,8.282511581976728
AFG,LBN,7.99942183513404
AFG,LBR,9.055381615743112
AFG,LBY,8.472408773521757
AFG,LCA,9.425605771989442
AFG,LKA,8.09195732350412
AFG,LSO,9.024780256708294
AFG,LTU,8.309040464120772
AFG,LUX,8.560242527568434
AFG,LVA,8.316621468833887
AFG,MAC,
AFG,MAR,8.813535455919212
AFG,MDA,8.170929575308419
AFG,MDG,8.759264948615947
AFG,MDV,8.156351005143367
AFG,MEX,9.515793597913083
AFG,MHL,9.267447284489961
AFG,MKD,8.318051526391024
AFG,MLI,8.96765397212037
AFG,MLT,8.478853114389112
AFG,MMR,8.107294971572438
AFG,MNG,8.1262869862812
AFG,MNP,8.978811007812014
AFG,MOZ,8.863001992073588
AFG,MRT,9.017776945835843
AFG,MSR,
AFG,MTQ,9.421570033917344
AFG,MUS,8.73580312138206
AFG,MWI,8.783602800892425
AFG,MYS,8.526145995201702
AFG,NAM,9.02293479341712
AFG,NCL,9.39963671496567
AFG,NER,8.80489511367101
AFG,NFK,9.44423789153655
AFG,NGA,8.851161581743172
AFG,NIC,9.55638663103167
AFG,NIU,9.55318653759846
AFG,NLD,8.567713096815607
AFG,NOR,8.519489153676556
AFG,NPL,7.459285898424285
AFG,NRU,9.291405940964063
AFG,NZL,9.521098385054502
AFG,OMN,7.399281868627616
AFG,PAK,6.500917078614115
AFG,PAL,8.042227189942714
AFG,PAN,9.5567367722058
AFG,PCN,
AFG,PER,9.654721018471419
AFG,PHL,8.673193188772672
AFG,PLW,8.907310184142034
AFG,PNG,9.157283839787585
AFG,POL,8.362169864276378
AFG,PRI,9.426174071302585
AFG,PRK,8.537973379959373
AFG,PRT,8.807492086997852
AFG,PRY,9.596120325887933
AFG,PYF,9.669284949715095
AFG,QAT,7.551534678584188
AFG,REU,8.757090019597404
AFG,ROM,8.234345812974016
AFG,RUS,7.992070854949247
AFG,RWA,8.64961451814553
AFG,SAU,7.864541296012854
AFG,SDN,8.342293226353531
AFG,SEN,9.065869243770448
AFG,SGP,8.564721798251982
AFG,SHN,9.196230088505798
AFG,SLB,9.281499428921743
AFG,SLE,9.064067116940171
AFG,SLV,9.555896227330438
AFG,SMR,8.47787527353873
AFG,SOM,8.338125375461752
AFG,SPM,9.147119702091064
AFG,STP,8.911831231115825
AFG,SUR,9.419922785312341
AFG,SVK,8.361715998826492
AFG,SVN,8.434100888450264
AFG,SWE,8.44170987390854
AFG,SWZ,8.966127411336139
AFG,SYC,8.429794175668048
AFG,SYR,7.941778200775609
AFG,TCA,9.428948855397724
AFG,TCD,8.67289540984189
AFG,TGO,8.91696706848195
AFG,THA,8.293881375946409
