iso3,year,MA
UGA,2019,17.95516442294467
ISR,2019,19.042492141956934
ESP,2019,19.219678830220165
PAN,2019,18.29437609232485
BLZ,2019,18.615146144279077
AGO,2019,17.683729809331354
GRL,2019,18.4250272847133
MEX,2019,18.51099516167294
SWZ,2019,17.732383189315087
AZE,2019,18.741385448973244
SYR,2019,19.07733514103322
THA,2019,18.556124128053117
HTI,2019,18.527165571545133
BTN,2019,18.811107542877156
VEN,2019,18.170098078365626
GBR,2019,19.79951816985097
ARE,2019,18.63917084069992
SMR,2019,20.141253698491404
LUX,2019,20.72974323570342
TZA,2019,17.805478577691282
ITA,2019,19.547409097445613
BMU,2019,18.546673655646476
DJI,2019,18.217181531762073
MDA,2019,19.277639084451323
UZB,2019,18.54120019433015
BRN,2019,18.406050796083665
SWE,2019,19.546792872813842
BIH,2019,19.772507289092243
LCA,2019,18.179382288777127
HUN,2019,19.87428489316248
JOR,2019,19.705573535931244
SUR,2019,17.907206163948725
IRQ,2019,18.775052365727586
LVA,2019,19.48664051518943
ALB,2019,19.47667372885784
PHL,2019,18.523389677926517
IRN,2019,18.643745357543217
TCD,2019,18.137593797839205
MOZ,2019,17.595142668290027
OMN,2019,18.725346407703316
MNP,2019,18.198341857269725
RUS,2019,18.558451777564123
EST,2019,19.415017776615908
SVN,2019,20.13925412828674
PRK,2019,19.891074408268597
FIN,2019,19.195234767401768
CZE,2019,20.21165871400843
FRA,2019,19.847382211705263
ABW,2019,18.26979713558732
TCA,2019,18.53907865041496
CYP,2019,19.157750599119485
MLI,2019,18.108031434487327
MMR,2019,18.681928863389825
MWI,2019,17.680590807595937
NIC,2019,18.455474922344607
MYS,2019,18.47616966623512
SLE,2019,17.99179558557072
YEM,2019,18.30638946732877
COM,2019,17.682340994368477
NOR,2019,19.47014530625469
KWT,2019,18.81353329255041
MNG,2019,18.897169140251307
ISL,2019,18.72309702634462
TON,2019,17.255349347817898
AUS,2019,17.199007491402764
BHS,2019,18.698200805043214
DNK,2019,20.016410819338137
GUY,2019,17.965766365739945
LTU,2019,19.53525320009298
MAC,2019,20.308136212120157
MUS,2019,17.515988631368966
NCL,2019,17.398305035280657
CHN,2019,18.321987724919826
SEN,2019,18.037503722829054
LAO,2019,18.8187828784122
NER,2019,18.253430987381545
GRC,2019,19.148184736353507
ATG,2019,18.24323774024901
TTO,2019,18.07166485617173
BDI,2019,17.91537318789427
NRU,2019,17.551323498137
SLB,2019,17.530423311466333
CHE,2019,20.27443668032552
IND,2019,18.216941576174126
NLD,2019,20.602585133262366
CYM,2019,18.580281761511333
BRB,2019,18.12064134542331
FRO,2020,19.112891576561974
VUT,2020,17.384655375978642
BHR,2020,19.072142947719126
PYF,2020,17.205732041999553
TUR,2020,18.879263696119747
ETH,2020,18.050105704929383
ARM,2020,18.78437417208036
HND,2020,18.510837936689605
KOR,2020,19.54583636153773
TUV,2020,17.361778129216237
LKA,2020,18.19710024031666
ARG,2020,17.490767532660275
PRI,2020,18.273010669490027
DZA,2020,19.16340857490609
