country,ISO_A3,date,spei
Aland,ALA,2019-02-15,0.28004837
Albania,ALB,2019-02-15,-0.47016254
Algeria,DZA,2019-02-15,-1.2537508
Angola,AGO,2019-02-15,0.07559092
Antarctica,ATA,2019-02-15,
Argentina,ARG,2019-02-15,-0.14190923
Armenia,ARM,2019-02-15,1.6398523
Australia,AUS,2019-02-15,-1.048422
Austria,AUT,2019-02-15,0.5178075
Azerbaijan,AZE,2019-02-15,0.74617064
Bangladesh,BGD,2019-02-15,1.1792088
Belarus,BLR,2019-02-15,0.2755166
Belgium,BEL,2019-02-15,0.011934126
Belize,BLZ,2019-02-15,-0.7078858
Benin,BEN,2019-02-15,-0.6726852
Bhutan,BTN,2019-02-15,0.9822577
Bolivia,BOL,2019-02-15,-0.45051655
Bosnia and Herzegovina,BIH,2019-02-15,-1.0426068
Botswana,BWA,2019-02-15,-0.32629177
Brazil,BRA,2019-02-15,-0.30097842
Brunei,BRN,2019-02-15,-0.9942771
Bulgaria,BGR,2019-02-15,-0.30531394
Burkina Faso,BFA,2019-02-15,-0.89592314
Burundi,BDI,2019-02-15,-0.036204435
Cabo Verde,CPV,2019-02-15,-0.50758356
Cambodia,KHM,2019-02-15,-0.33121607
Cameroon,CMR,2019-02-15,0.12727046
Canada,CAN,2019-02-15,0.32862702
Cayman Islands,CYM,2019-02-15,
Central African Republic,CAF,2019-02-15,-0.79600614
Chad,TCD,2019-02-15,-1.1018106
Chile,CHL,2019-02-15,-0.6254133
China,CHN,2019-02-15,0.18078808
Colombia,COL,2019-02-15,-1.0076214
Comoros,COM,2019-02-15,-0.8755826
Costa Rica,CRI,2019-02-15,-0.5823756
Croatia,HRV,2019-02-15,-1.2906017
Cuba,CUB,2019-02-15,-0.18816328
Cyprus,CYP,2019-02-15,1.5948972
Czechia,CZE,2019-02-15,0.1154935
Democratic Republic of the Congo,COD,2019-02-15,0.095151186
Denmark,DNK,2019-02-15,0.02804983
Djibouti,DJI,2019-02-15,-0.9962245
Dominican Republic,DOM,2019-02-15,-0.75978637
East Timor,TLS,2019-02-15,-2.233224
Ecuador,ECU,2019-02-15,0.5172599
Egypt,EGY,2019-02-15,-0.23068024
El Salvador,SLV,2019-02-15,-1.1076462
Equatorial Guinea,GNQ,2019-02-15,-0.52142924
Eritrea,ERI,2019-02-15,-0.79744947
Estonia,EST,2019-02-15,0.5443364
Ethiopia,ETH,2019-02-15,-0.7854059
Falkland Islands,FLK,2019-02-15,-0.41971844
Faroe Islands,FRO,2019-02-15,-0.14996319
Fiji,FJI,2019-02-15,-0.87695754
