iso_o,iso_d,contig,comlang_off,colony,border_friction
AGO,FIN,0,0,0,1.0
AGO,FJI,0,0,0,1.0
AGO,FLK,0,0,0,1.0
AGO,FRA,0,0,0,1.0
AGO,FRO,0,0,0,1.0
AGO,FSM,0,0,0,1.0
AGO,GAB,0,0,0,1.0
AGO,GBR,0,0,0,1.0
AGO,GEO,0,0,0,1.0
AGO,GHA,0,0,0,1.0
AGO,GIB,0,0,0,1.0
AGO,GIN,0,0,0,1.0
AGO,GLP,0,0,0,1.0
AGO,GMB,0,0,0,1.0
AGO,GNB,0,1,0,0.6666666666666667
AGO,GNQ,0,0,0,1.0
AGO,GRC,0,0,0,1.0
AGO,GRD,0,0,0,1.0
AGO,GRL,0,0,0,1.0
AGO,GTM,0,0,0,1.0
AGO,GUF,0,0,0,1.0
AGO,GUY,0,0,0,1.0
AGO,HKG,0,0,0,1.0
AGO,HND,0,0,0,1.0
AGO,HRV,0,0,0,1.0
AGO,HTI,0,0,0,1.0
AGO,HUN,0,0,0,1.0
AGO,IDN,0,0,0,1.0
AGO,IND,0,0,0,1.0
AGO,IRL,0,0,0,1.0
AGO,IRN,0,0,0,1.0
AGO,IRQ,0,0,0,1.0
AGO,ISL,0,0,0,1.0
AGO,ISR,0,0,0,1.0
AGO,ITA,0,0,0,1.0
AGO,JAM,0,0,0,1.0
AGO,JOR,0,0,0,1.0
AGO,JPN,0,0,0,1.0
AGO,KAZ,0,0,0,1.0
AGO,KEN,0,0,0,1.0
AGO,KGZ,0,0,0,1.0
AGO,KHM,0,0,0,1.0
AGO,KIR,0,0,0,1.0
AGO,KNA,0,0,0,1.0
AGO,KOR,0,0,0,1.0
AGO,KWT,0,0,0,1.0
AGO,LAO,0,0,0,1.0
AGO,LBN,0,0,0,1.0
AGO,LBR,0,0,0,1.0
AGO,LBY,0,0,0,1.0
AGO,LCA,0,0,0,1.0
AGO,LKA,0,0,0,1.0
AGO,LSO,0,0,0,1.0
AGO,LTU,0,0,0,1.0
AGO,LUX,0,0,0,1.0
AGO,LVA,0,0,0,1.0
AGO,MAC,0,1,0,0.6666666666666667
AGO,MAR,0,0,0,1.0
AGO,MDA,0,0,0,1.0
AGO,MDG,0,0,0,1.0
AGO,MDV,0,0,0,1.0
AGO,MEX,0,0,0,1.0
AGO,MHL,0,0,0,1.0
AGO,MKD,0,0,0,1.0
AGO,MLI,0,0,0,1.0
AGO,MLT,0,0,0,1.0
AGO,MMR,0,0,0,1.0
AGO,MNG,0,0,0,1.0
AGO,MNP,0,0,0,1.0
AGO,MOZ,0,1,0,0.6666666666666667
AGO,MRT,0,0,0,1.0
AGO,MSR,0,0,0,1.0
AGO,MTQ,0,0,0,1.0
AGO,MUS,0,0,0,1.0
AGO,MWI,0,0,0,1.0
AGO,MYS,0,0,0,1.0
