iso3,year,political_stability
NLD,2019,0.8213249444961548
NZL,2019,1.4169535636901855
NIC,2019,-0.9925007224082947
NER,2019,-1.4050064086914062
NGA,2019,-1.933154821395874
NIU,2019,1.3627032041549683
MKD,2019,0.00814169179648161
NOR,2019,1.142112135887146
OMN,2019,0.5892567038536072
PAK,2019,-2.2517430782318115
PLW,2019,1.1717981100082397
PAN,2019,0.29094579815864563
PNG,2019,-0.706948459148407
PRY,2019,-0.018012775108218193
PER,2019,-0.16362261772155762
PHL,2019,-0.9280606508255005
POL,2019,0.5507165193557739
PRT,2019,1.0517518520355225
PRI,2019,0.1426609456539154
QAT,2019,0.6843701004981995
ROM,2019,0.5422559976577759
RUS,2019,-0.5510887503623962
RWA,2019,0.056992288678884506
REU,2019,0.20966975390911102
WSM,2019,1.1633777618408203
SMR,2019,1.2259713411331177
SAU,2019,-0.6240473985671997
SEN,2019,0.03757640719413757
SRB,2019,-0.07805154472589493
SYC,2019,0.6587868928909302
SLE,2019,-0.0569148063659668
SGP,2019,1.4804542064666748
SVK,2019,0.6673688292503357
SVN,2019,0.8015859723091125
SLB,2019,0.4971851706504822
SOM,2019,-2.3864030838012695
ZAF,2019,-0.2832210958003998
SSD,2019,-2.518467664718628
ESP,2019,0.2927687466144562
LKA,2019,-0.21553660929203033
KNA,2019,0.7008935213088989
LCA,2019,0.9066039323806763
VCT,2019,0.9380796551704407
SDN,2019,-1.6962658166885376
SUR,2019,0.08768051117658615
SWE,2019,1.0118863582611084
CHE,2019,1.310975432395935
SYR,2019,-2.730469226837158
STP,2019,0.5006512999534607
TWN,2019,0.7887747287750244
TJK,2019,-0.5120598673820496
TZA,2019,-0.3884200155735016
THA,2019,-0.491406112909317
TMP,2019,0.2430812269449234
TGO,2019,-0.9082576632499695
TON,2019,1.0350251197814941
TTO,2019,0.08159055560827255
TUN,2019,-0.8770847320556641
TKM,2019,-0.178114116191864
TUV,2019,1.1717981100082397
TUR,2019,-1.3781816959381104
UGA,2019,-0.6942639350891113
UKR,2019,-1.4283761978149414
ARE,2019,0.6675384044647217
GBR,2019,0.5266942977905273
USA,2019,0.11829857528209686
URY,2019,1.0282970666885376
UZB,2019,-0.29663777351379395
VUT,2019,1.0063645839691162
VEN,2019,-1.5385196208953857
VNM,2019,0.03998740389943123
VIR,2019,1.0515190362930298
WBG,2019,-1.8894288539886475
YEM,2019,-2.771014451980591
ZMB,2019,-0.11698965728282928
ZWE,2019,-0.9433025121688843
AFG,2020,-2.702721118927002
ALB,2020,0.08861251920461655
DZA,2020,-0.8478204011917114
ASM,2020,1.090208649635315
ADO,2020,1.5886753797531128
AGO,2020,-0.5999178886413574
AIA,2020,1.5038427114486694
ATG,2020,0.9295788407325745
ARG,2020,-0.07199740409851074
ARM,2020,-0.7716448903083801
ABW,2020,1.3715912103652954
AUS,2020,0.8621618747711182
