Country Name,Country Code,Indicator Code,2019,2020,2021,2022
"Gambia, The",GMB,NY.GDP.MKTP.CD,1813609692.4999352,1812170891.190692,2014158842.1459632,2204734527.127339
Georgia,GEO,NY.GDP.MKTP.CD,17638337116.9126,16010869215.679968,18853115588.81058,24984568959.604965
Germany,DEU,NY.GDP.MKTP.CD,3957208055215.68,3940142541354.0967,4348297440387.527,4163596357879.3936
Ghana,GHA,NY.GDP.MKTP.CD,68352629246.15547,70008243859.86661,79514204730.3979,73919003209.98665
Gibraltar,GIB,NY.GDP.MKTP.CD,,,,
Greece,GRC,NY.GDP.MKTP.CD,207305649887.0193,191362985554.86124,218303801895.326,218880566444.3491
Greenland,GRL,NY.GDP.MKTP.CD,2997309971.8762293,3089625554.404728,3293578467.5732727,3152334771.7799163
Grenada,GRD,NY.GDP.MKTP.CD,1213485185.1851852,1043411111.111111,1122800000.0,1231732103.7037036
Guam,GUM,NY.GDP.MKTP.CD,6355000000.0,5916000000.0,6234000000.0,6910000000.0
Guatemala,GTM,NY.GDP.MKTP.CD,77172317258.6478,77719464220.73003,86455519686.88408,95641441234.94304
Guinea,GIN,NY.GDP.MKTP.CD,13442861496.44542,14088693742.94638,17069115737.825916,19910452541.92191
Guinea-Bissau,GNB,NY.GDP.MKTP.CD,1588767975.590177,1683619351.7248564,1878659686.5899255,1839048747.8767085
Guyana,GUY,NY.GDP.MKTP.CD,5173760191.846522,5471256594.72422,8041362110.31175,14718388489.208632
Haiti,HTI,NY.GDP.MKTP.CD,15016090929.512514,14508222518.301786,20877414952.63745,20253551920.551617
Honduras,HND,NY.GDP.MKTP.CD,24882225741.811867,23352232483.75501,28144331506.614887,31426041806.798485
"Hong Kong SAR, China",HKG,NY.GDP.MKTP.CD,363074545072.3891,344943149590.0583,368954169748.81805,358679533984.7182
Hungary,HUN,NY.GDP.MKTP.CD,164936682033.99158,158468487754.1963,183282685440.4858,177536698164.9018
Iceland,ISL,NY.GDP.MKTP.CD,24681343649.29519,21629953194.065945,25770339317.389706,28696453180.165657
India,IND,NY.GDP.MKTP.CD,2835606256558.195,2674851578587.269,3167270623260.4688,3346107287730.9272
Indonesia,IDN,NY.GDP.MKTP.CD,1119099871350.1992,1059054842698.482,1186509691086.7307,1319101183380.1516
"Iran, Islamic Rep.",IRN,NY.GDP.MKTP.CD,333519146339.19086,262186179355.9435,383436202446.6949,394362621793.03467
Iraq,IRQ,NY.GDP.MKTP.CD,233636097800.33844,180898797516.8744,209691945713.10345,287372232137.931
Ireland,IRL,NY.GDP.MKTP.CD,407124824064.9954,436555518400.451,531306516907.9837,548570250341.9866
Isle of Man,IMN,NY.GDP.MKTP.CD,7314967866.282892,6684225641.0256405,7931193222.064053,7431257410.927127
Israel,ISR,NY.GDP.MKTP.CD,400645216358.8574,410768352657.6116,489851549972.34686,525181008025.5703
Italy,ITA,NY.GDP.MKTP.CD,2019606796583.526,1907481094079.227,2179207773596.089,2104067630319.4636
Jamaica,JAM,NY.GDP.MKTP.CD,15830766531.147352,13812421835.736937,14657586159.431623,17097760686.777462
Japan,JPN,NY.GDP.MKTP.CD,5117993853016.508,5054068005376.275,5039148168861.225,4262463317796.528
Jordan,JOR,NY.GDP.MKTP.CD,44503006338.02817,43700383098.59155,46296100140.84507,48764963380.28169
Kazakhstan,KAZ,NY.GDP.MKTP.CD,181667184854.5005,171082365861.4229,197112255360.61237,225496328925.4941
Kenya,KEN,NY.GDP.MKTP.CD,100378436207.37134,100657505750.545,109703658904.99371,114448978152.6374
Kiribati,KIR,NY.GDP.MKTP.CD,216985388.32275409,220897998.73251808,285259893.9830645,270040456.961045
"Korea, Dem. People's Rep.",PRK,NY.GDP.MKTP.CD,,,,
"Korea, Rep.",KOR,NY.GDP.MKTP.CD,1651422932447.768,1644312831906.1692,1818432106880.0369,1673916511799.7087
Kosovo,XKX,NY.GDP.MKTP.CD,7899737577.472862,7717145217.812473,9413403724.018988,9354903061.8898
Kuwait,KWT,NY.GDP.MKTP.CD,140856394870.0202,111045470461.20734,148350671614.1853,183502046669.1504
Kyrgyz Republic,KGZ,NY.GDP.MKTP.CD,9371275264.367346,8270468614.240511,9249133946.265314,12134931017.946526
Lao PDR,LAO,NY.GDP.MKTP.CD,18740561512.555496,18981805250.2424,18827148530.934723,15468785203.753174
Latvia,LVA,NY.GDP.MKTP.CD,33099503950.847004,33379927434.61488,38183326784.933495,38014713595.76863
Lebanon,LBN,NY.GDP.MKTP.CD,51605959131.27413,31712128253.796097,23131941556.784348,20992421948.808086
Lesotho,LSO,NY.GDP.MKTP.CD,2390702295.827774,2053699870.071915,2412130021.6464148,2354980884.1527104
Liberia,LBR,NY.GDP.MKTP.CD,3319596500.0,3176126300.0,3513049500.0,4001047000.0
Libya,LBY,NY.GDP.MKTP.CD,69254496471.6938,46854285440.64199,35217995647.2862,43246297921.84992
Liechtenstein,LIE,NY.GDP.MKTP.CD,6436467007.119318,6405870210.32293,7912602342.188946,7378156576.2354
Lithuania,LTU,NY.GDP.MKTP.CD,55122066225.79599,57412038533.27175,67037321008.96792,71033884499.78238
Luxembourg,LUX,NY.GDP.MKTP.CD,69872035113.64694,73670782100.39087,86386759695.16528,80801680397.01393
"Macao SAR, China",MAC,NY.GDP.MKTP.CD,55082293844.10078,25343525935.835773,30969334705.051456,24999113475.836823
Madagascar,MDG,NY.GDP.MKTP.CD,14104664678.506332,13051441203.947355,14354731964.331003,15325603272.607267
Malawi,MWI,NY.GDP.MKTP.CD,11051865579.812103,11769313597.85449,12378129750.98716,12429060150.74196
Malaysia,MYS,NY.GDP.MKTP.CD,365177721021.5161,337456163961.2112,373784823672.9463,407605841348.2348
Maldives,MDV,NY.GDP.MKTP.CD,5726094799.377091,3712604583.366653,5252457369.552176,6177118113.946365
Mali,MLI,NY.GDP.MKTP.CD,20477421884.541363,20698560938.777515,22999245262.671898,22374051349.944454
Malta,MLT,NY.GDP.MKTP.CD,16337793530.77884,16409900599.19635,19723563354.677856,19239187083.51937
Marshall Islands,MHL,NY.GDP.MKTP.CD,232900000.0,241800000.0,258900000.0,253400000.0
Mauritania,MRT,NY.GDP.MKTP.CD,7894764885.823116,8260752385.230893,9222536364.012722,9557966698.253689
Mauritius,MUS,NY.GDP.MKTP.CD,14436346979.63554,11408106446.31438,11484348857.85287,12907767789.596737
Mexico,MEX,NY.GDP.MKTP.CD,1304106203902.452,1121064767401.509,1316569466735.2788,1466464899303.6838
"Micronesia, Fed. Sts.",FSM,NY.GDP.MKTP.CD,394000000.0,372902690.041619,391601946.963072,415956896.458884
Moldova,MDA,NY.GDP.MKTP.CD,11736797054.696486,11530746234.44918,13691869264.079351,14525337523.727076
Monaco,MCO,NY.GDP.MKTP.CD,7383496254.237212,6730736282.78961,8623242743.295635,8800430486.17137
Mongolia,MNG,NY.GDP.MKTP.CD,14206359017.514322,13312981429.08905,15286441737.668615,17146471713.748024
Montenegro,MNE,NY.GDP.MKTP.CD,5542054181.126162,4769996866.007579,5861427505.124932,6229801580.791574
Morocco,MAR,NY.GDP.MKTP.CD,128920266409.4575,121353645057.14368,142022058447.23093,130951926351.24097
Mozambique,MOZ,NY.GDP.MKTP.CD,15512759046.671955,14235420174.18844,16168055475.444893,18883528581.3734
Myanmar,MMR,NY.GDP.MKTP.CD,75065106227.6892,79006113643.19055,66345291160.16825,62253049891.64494
Namibia,NAM,NY.GDP.MKTP.CD,12541928303.47997,10583748541.525812,12402486183.639605,12569449123.366074
Nauru,NRU,NY.GDP.MKTP.CD,124871111.3779728,124530027.30105428,175513984.50008395,152190818.86895233
Nepal,NPL,NY.GDP.MKTP.CD,34186180699.02548,33433659301.24655,36924841394.26049,41182939600.62086
Netherlands,NLD,NY.GDP.MKTP.CD,928903005576.4692,932560861701.17,1054472123449.5956,1046540797548.6422
New Caledonia,NCL,NY.GDP.MKTP.CD,9475655324.594954,9454629467.914082,10071349663.848385,9623318718.314594
New Zealand,NZL,NY.GDP.MKTP.CD,213006341101.8694,213029554653.6872,253977931814.9668,249509991440.4376
