spei_iso3,spei,spei_date,year,month
QAT,1.2948674,2019-03-16,2019,3
SRB,-1.4625406,2019-03-16,2019,3
COG,-0.39973325,2019-03-16,2019,3
ROU,-1.0944289,2019-03-16,2019,3
RUS,0.21387047,2019-03-16,2019,3
RWA,-1.9202694,2019-03-16,2019,3
VCT,-1.8145012,2019-03-16,2019,3
WSM,0.6315718,2019-03-16,2019,3
SAU,0.4133262,2019-03-16,2019,3
SEN,-0.15659201,2019-03-16,2019,3
SIA,1.3029143,2019-03-16,2019,3
SLE,-0.06540632,2019-03-16,2019,3
SVK,-1.2579615,2019-03-16,2019,3
SVN,-1.0160362,2019-03-16,2019,3
SLB,0.03714139,2019-03-16,2019,3
SOM,-0.6616624,2019-03-16,2019,3
SOL,-0.56484663,2019-03-16,2019,3
ZAF,-1.0118772,2019-03-16,2019,3
SGS,-0.3491294,2019-03-16,2019,3
KOR,-1.3795905,2019-03-16,2019,3
SSD,-0.74655014,2019-03-16,2019,3
ESP,-1.881451,2019-03-16,2019,3
LKA,-0.65940374,2019-03-16,2019,3
SDN,-0.876637,2019-03-16,2019,3
SUR,-1.6227682,2019-03-16,2019,3
SWE,1.1972731,2019-03-16,2019,3
CHE,-0.54945123,2019-03-16,2019,3
SYR,1.0282696,2019-03-16,2019,3
TWN,0.11541506,2019-03-16,2019,3
TJK,-0.31931865,2019-03-16,2019,3
THA,-0.35465062,2019-03-16,2019,3
BHS,0.33836165,2019-03-16,2019,3
TGO,-0.47104067,2019-03-16,2019,3
TTO,-1.3468213,2019-03-16,2019,3
TUN,0.402025,2019-03-16,2019,3
TUR,0.20799471,2019-03-16,2019,3
TKM,0.5823409,2019-03-16,2019,3
UGA,0.6231801,2019-03-16,2019,3
UKR,-0.83192086,2019-03-16,2019,3
ARE,0.4909988,2019-03-16,2019,3
GBR,-0.63381034,2019-03-16,2019,3
TZA,-0.14335771,2019-03-16,2019,3
VIR,-0.88199407,2019-03-16,2019,3
USA,0.82962084,2019-03-16,2019,3
URY,0.97007674,2019-03-16,2019,3
UZB,-0.18761468,2019-03-16,2019,3
VUT,0.08408911,2019-03-16,2019,3
VEN,-0.61151236,2019-03-16,2019,3
VNM,0.23435311,2019-03-16,2019,3
ESH,-0.685942,2019-03-16,2019,3
YEM,-0.5689314,2019-03-16,2019,3
ZMB,0.064616434,2019-03-16,2019,3
ZWE,0.19868824,2019-03-16,2019,3
SWZ,-0.10614137,2019-03-16,2019,3
AFG,1.1403052,2019-04-16,2019,4
ALA,-0.62008643,2019-04-16,2019,4
ALB,-1.2396582,2019-04-16,2019,4
DZA,-0.49394283,2019-04-16,2019,4
AGO,0.093374446,2019-04-16,2019,4
ARG,-0.19251855,2019-04-16,2019,4
ARM,0.8288189,2019-04-16,2019,4
AUS,-0.7102595,2019-04-16,2019,4
AUT,-1.3368754,2019-04-16,2019,4
AZE,0.49205315,2019-04-16,2019,4
BGD,1.0980076,2019-04-16,2019,4
BLR,-2.2732158,2019-04-16,2019,4
BEL,-0.5803948,2019-04-16,2019,4
BLZ,0.2445876,2019-04-16,2019,4
BEN,-0.11917389,2019-04-16,2019,4
BTN,0.42338437,2019-04-16,2019,4
BOL,-0.595699,2019-04-16,2019,4
BIH,-1.2567276,2019-04-16,2019,4
BWA,-0.28774974,2019-04-16,2019,4
BRA,-0.018939193,2019-04-16,2019,4
BRN,-1.3997929,2019-04-16,2019,4
BGR,-1.1252776,2019-04-16,2019,4
BFA,0.08057756,2019-04-16,2019,4
BDI,-2.8133492,2019-04-16,2019,4
CPV,0.30310446,2019-04-16,2019,4
KHM,-0.19808765,2019-04-16,2019,4
CMR,-0.17546996,2019-04-16,2019,4
CAN,-0.20842145,2019-04-16,2019,4
CAF,-0.3556529,2019-04-16,2019,4
TCD,-0.88440424,2019-04-16,2019,4
CHL,-0.1007794,2019-04-16,2019,4
CHN,-0.753716,2019-04-16,2019,4
COL,-0.3917174,2019-04-16,2019,4
COM,0.009760522,2019-04-16,2019,4
CRI,0.3622593,2019-04-16,2019,4
HRV,-1.1425192,2019-04-16,2019,4
CUB,0.0536824,2019-04-16,2019,4
CYP,0.82427853,2019-04-16,2019,4
CZE,-1.8572505,2019-04-16,2019,4
COD,-0.14715447,2019-04-16,2019,4
DNK,-0.33583838,2019-04-16,2019,4
DJI,-0.1807503,2019-04-16,2019,4
DOM,-0.36661,2019-04-16,2019,4
TLS,-1.9887096,2019-04-16,2019,4
ECU,0.21522468,2019-04-16,2019,4
EGY,0.12763377,2019-04-16,2019,4
SLV,-0.6888695,2019-04-16,2019,4
GNQ,0.42445076,2019-04-16,2019,4
ERI,-0.7627932,2019-04-16,2019,4
EST,-1.0085584,2019-04-16,2019,4
ETH,0.036303457,2019-04-16,2019,4
FLK,0.43515304,2019-04-16,2019,4
FRO,-0.102332,2019-04-16,2019,4
FJI,-0.03152899,2019-04-16,2019,4
FIN,0.3824153,2019-04-16,2019,4
FRA,-1.2849857,2019-04-16,2019,4
