iso_o,iso_d,distw
AFG,PHL,5863.216
AFG,PLW,7390.498
AFG,PNG,9495.276
AFG,POL,4291.678
AFG,PRI,12410.97
AFG,PRK,5114.418
AFG,PRT,6694.289
AFG,PRY,14711.02
AFG,PYF,15826.69
AFG,QAT,1926.807
AFG,REU,6359.584
AFG,ROM,3782.032
AFG,RUS,3061.364
AFG,RWA,5715.021
AFG,SAU,2702.498
AFG,SDN,4236.656
AFG,SEN,8659.624
AFG,SGP,5248.137
AFG,SHN,9896.133
AFG,SLB,10742.31
AFG,SLE,8644.455
AFG,SLV,14129.15
AFG,SMR,4813.287
AFG,SOM,4221.253
AFG,SPM,9389.558
AFG,STP,7424.892
AFG,SUR,12516.17
AFG,SVK,4289.402
AFG,SVN,4607.868
AFG,SWE,4644.212
AFG,SWZ,7837.531
AFG,SYC,4587.47
AFG,SYR,2832.413
AFG,TCA,12445.24
AFG,TCD,5855.769
AFG,TGO,7463.658
AFG,THA,4011.003
AFG,TJK,498.4332
AFG,TKL,13357.65
AFG,TKM,953.3537
AFG,TMP,7733.271
AFG,TON,13716.5
AFG,TTO,12721.01
AFG,TUN,5183.574
AFG,TUR,3249.258
AFG,TUV,12367.1
AFG,TWN,5189.499
AFG,TZA,5617.331
AFG,UGA,5307.031
AFG,UKR,3272.287
AFG,URY,15000.66
AFG,USA,11626.58
AFG,UZB,741.451
AFG,VCT,12487.69
AFG,VEN,13221.28
AFG,VGB,12289.68
AFG,VNM,4505.89
AFG,VUT,11961.76
AFG,WLF,13187.55
AFG,WSM,13613.04
AFG,YEM,3281.16
AFG,YUG,4168.198
AFG,ZAF,8338.339
AFG,ZAR,6738.451
AFG,ZMB,6882.723
AFG,ZWE,7162.382
AGO,ABW,9587.316
AGO,AFG,7573.253
AGO,AGO,295.5981
AGO,AIA,8998.161
AGO,ALB,5708.833
AGO,AND,5958.821
AGO,ANT,9396.203
AGO,ARE,5939.362
AGO,ARG,7977.916
AGO,ARM,6413.464
AGO,ATG,8846.354
AGO,AUS,12954.91
AGO,AUT,6432.058
AGO,AZE,6652.02
AGO,BDI,1905.42
AGO,BEL,6817.662
AGO,BEN,2340.251
AGO,BFA,3026.398
AGO,BGD,9116.833
AGO,BGR,5962.843
AGO,BHR,5649.496
AGO,BHS,10610.82
AGO,BIH,6028.429
AGO,BLR,7185.963
AGO,BLZ,11631.94
AGO,BMU,9541.7
AGO,BOL,8607.54
AGO,BRA,6440.572
AGO,BRB,8503.37
AGO,BRN,11296.04
AGO,BTN,9167.857
AGO,BWA,2013.847
AGO,CAF,1745.579
AGO,CAN,11627.29
AGO,CCK,
AGO,CHE,6356.838
AGO,CHL,8947.972
AGO,CHN,11829.97
AGO,CIV,2712.49
AGO,CMR,1787.591
AGO,COG,681.5906
AGO,COK,16549.56
AGO,COL,9982.689
AGO,COM,3281.956
AGO,CPV,5054.01
AGO,CRI,11066.58
AGO,CUB,10784.01
AGO,CXR,
AGO,CYM,10914.78
AGO,CYP,5396.996
AGO,CZE,6653.98
AGO,DEU,6825.559
