country,date,spei
Guinea-Bissau,2019-02-15,-1.0288124
Guyana,2019-02-15,-1.2697829
Haiti,2019-02-15,-1.48192
Honduras,2019-02-15,-0.71620417
Hungary,2019-02-15,-0.82422334
Iceland,2019-02-15,0.85344106
India,2019-02-15,0.34374827
Indonesia,2019-02-15,-0.25214997
Iran,2019-02-15,-0.042322237
Iraq,2019-02-15,-0.15673073
Ireland,2019-02-15,-0.24225731
Israel,2019-02-15,0.8548709
Italy,2019-02-15,-1.0528588
Ivory Coast,2019-02-15,-0.5452693
Jamaica,2019-02-15,-0.3825291
Japan,2019-02-15,-0.95954806
Jordan,2019-02-15,0.9828677
Kazakhstan,2019-02-15,-0.35631996
Kenya,2019-02-15,0.7116749
Kiribati,2019-02-15,
Kosovo,2019-02-15,-0.60296124
Kuwait,2019-02-15,-1.4055976
Kyrgyzstan,2019-02-15,0.014502076
Laos,2019-02-15,1.1662098
Latvia,2019-02-15,0.6913871
Lebanon,2019-02-15,1.4308003
Lesotho,2019-02-15,-1.2474147
Liberia,2019-02-15,-0.10442618
Libya,2019-02-15,0.25736454
Lithuania,2019-02-15,0.6251632
Luxembourg,2019-02-15,0.47539997
Madagascar,2019-02-15,-0.43492642
Malawi,2019-02-15,1.293936
Malaysia,2019-02-15,-0.52937025
Mali,2019-02-15,-0.47670943
Mauritania,2019-02-15,-0.71726805
Mauritius,2019-02-15,0.39701328
Mexico,2019-02-15,-0.1330123
Moldova,2019-02-15,0.24807729
Mongolia,2019-02-15,-0.10573241
Montenegro,2019-02-15,-0.53649086
Morocco,2019-02-15,-1.7679129
Mozambique,2019-02-15,0.2528111
Myanmar,2019-02-15,0.86202306
Namibia,2019-02-15,-0.17457917
Nepal,2019-02-15,0.98483473
Netherlands,2019-02-15,-0.02963626
New Caledonia,2019-02-15,0.15284759
New Zealand,2019-02-15,-0.9886212
Nicaragua,2019-02-15,-1.4170235
Niger,2019-02-15,0.06624038
Nigeria,2019-02-15,0.23790705
North Korea,2019-02-15,-1.6061883
North Macedonia,2019-02-15,-0.59783304
Northern Cyprus,2019-02-15,1.8397826
Norway,2019-02-15,0.59936374
Oman,2019-02-15,-1.2750005
Pakistan,2019-02-15,0.15565403
Palestine,2019-02-15,0.815114
Panama,2019-02-15,-0.80582446
Papua New Guinea,2019-02-15,-0.08012621
Paraguay,2019-02-15,-0.827476
Peru,2019-02-15,0.30161572
Philippines,2019-02-15,-0.059102524
Poland,2019-02-15,0.3337282
Portugal,2019-02-15,-1.6788759
Puerto Rico,2019-02-15,-0.5648288
Qatar,2019-02-15,-0.5994165
