iso3,year,gdp_pc,pop,urban,unemp,political_stability
COL,2020,8.77532473350093,17.740054784692685,81.425,10.28,-0.7011500597000122
COL,2021,8.582922337274953,17.751019067232278,81.74,15.983,-0.9545743465423584
COL,2022,8.73594658310268,17.76170199678534,82.05,13.898,-0.6299583315849304
COM,2019,7.339999487025092,13.575447170116817,29.164,3.942,-0.17679767310619354
COM,2020,7.325981196043223,13.595067108093078,29.38,3.934,-0.28738489747047424
COM,2021,7.3311715690217465,13.614830306900913,29.613,4.471,-0.22799064218997955
COM,2022,7.370060530370926,13.634214075601957,29.864,4.394,-0.2264113575220108
CPV,2019,8.365198708740941,13.150180858600761,66.195,12.17,0.8596274256706238
CPV,2020,8.384982337539078,13.151298684342192,66.652,12.128,0.874232292175293
CPV,2021,8.17166351120954,13.15511900609432,67.102,14.69,0.8943684697151184
CPV,2022,8.28688505868195,13.16108588955302,67.545,13.976,0.927069365978241
CRI,2019,9.440677934480254,15.424859066401956,80.076,9.01,0.43031996488571167
CRI,2020,9.463794752994776,15.431789020396428,80.771,10.807,0.7468180656433105
CRI,2021,9.424971749066426,15.436874669719334,81.425,16.432,0.8604225516319275
CRI,2022,9.460174035035275,15.441169200155919,82.042,15.139,0.9565964341163635
CSS,2019,9.53353387193018,15.306870541265184,48.3740566861139,8.42228555555843,
CSS,2020,9.54238871761973,15.31050280950634,48.47893840762523,8.162114304576805,
CSS,2021,9.386455826947307,15.314947649602647,48.552121024511926,9.865500419506317,
CSS,2022,9.534834725767059,15.3189899982224,48.65293726716638,9.53894339285438,
CUB,2019,9.095093598994476,16.231678411128428,77.109,1.7,0.6105005741119385
CUB,2020,9.130459276839085,16.229310854435187,77.194,1.705,0.5961467623710632
CUB,2021,9.170066274278113,16.224450791812473,77.292,2.24,0.39279600977897644
CUB,2022,,16.218829279061648,77.401,2.116,0.491417795419693
CUW,2019,9.858444390272696,11.966806063891925,89.098,,
CUW,2020,9.863742404014644,11.950838401944246,89.062,,
CUW,2021,9.702355787353197,11.93406048947015,89.038,,
CUW,2022,9.797015212971688,11.918363906056165,89.025,,
CYM,2019,11.336970237907716,11.117316623885428,100.0,,1.4015254974365234
CYM,2020,11.387977589678458,11.137271554433694,100.0,,1.4564709663391113
CYM,2021,11.31859770067484,11.157792189193067,100.0,,1.6247758865356445
CYM,2022,11.367187824080121,11.178724646724019,100.0,,1.6607418060302734
CYP,2019,10.295529178424376,14.06756882064288,66.805,8.504,0.5445982217788696
CYP,2020,10.299005105177898,14.079601791899659,66.821,7.155,0.2887776494026184
CYP,2021,10.262874362913871,14.091101577351264,66.856,7.755,0.4221506714820862
